config_id,config_key,experiment_key,r2l_synth_count,target_r2l,cb_beta,focal_gamma,seed,run_name
c017,ea6f5b1a3c,2004f9ddf9f2,5000,5995,0.95,1.0,1,cnn2d_grid_c017_ea6f5b1a3c_r5000_b0p95_g1_s1
c017,ea6f5b1a3c,2004f9ddf9f2,5000,5995,0.95,1.0,2,cnn2d_grid_c017_ea6f5b1a3c_r5000_b0p95_g1_s2
c018,ee2bdd3bfd,2004f9ddf9f2,5000,5995,0.95,1.25,0,cnn2d_grid_c018_ee2bdd3bfd_r5000_b0p95_g1p25_s0
c018,ee2bdd3bfd,2004f9ddf9f2,5000,5995,0.95,1.25,1,cnn2d_grid_c018_ee2bdd3bfd_r5000_b0p95_g1p25_s1
c018,ee2bdd3bfd,2004f9ddf9f2,5000,5995,0.95,1.25,2,cnn2d_grid_c018_ee2bdd3bfd_r5000_b0p95_g1p25_s2
c019,004a0cbfa1,2004f9ddf9f2,5000,5995,0.95,1.5,0,cnn2d_grid_c019_004a0cbfa1_r5000_b0p95_g1p5_s0
c019,004a0cbfa1,2004f9ddf9f2,5000,5995,0.95,1.5,1,cnn2d_grid_c019_004a0cbfa1_r5000_b0p95_g1p5_s1
c019,004a0cbfa1,2004f9ddf9f2,5000,5995,0.95,1.5,2,cnn2d_grid_c019_004a0cbfa1_r5000_b0p95_g1p5_s2
c020,f3ad7602e5,2004f9ddf9f2,5000,5995,0.95,1.75,0,cnn2d_grid_c020_f3ad7602e5_r5000_b0p95_g1p75_s0
c020,f3ad7602e5,2004f9ddf9f2,5000,5995,0.95,1.75,1,cnn2d_grid_c020_f3ad7602e5_r5000_b0p95_g1p75_s1
c020,f3ad7602e5,2004f9ddf9f2,5000,5995,0.95,1.75,2,cnn2d_grid_c020_f3ad7602e5_r5000_b0p95_g1p75_s2
c021,c15041e36a,2004f9ddf9f2,5000,5995,0.95,2.0,0,cnn2d_grid_c021_c15041e36a_r5000_b0p95_g2_s0
c021,c15041e36a,2004f9ddf9f2,5000,5995,0.95,2.0,1,cnn2d_grid_c021_c15041e36a_r5000_b0p95_g2_s1
c021,c15041e36a,2004f9ddf9f2,5000,5995,0.95,2.0,2,cnn2d_grid_c021_c15041e36a_r5000_b0p95_g2_s2
c022,85a735017d,2004f9ddf9f2,5000,5995,0.95,2.25,0,cnn2d_grid_c022_85a735017d_r5000_b0p95_g2p25_s0
c022,85a735017d,2004f9ddf9f2,5000,5995,0.95,2.25,1,cnn2d_grid_c022_85a735017d_r5000_b0p95_g2p25_s1
c022,85a735017d,2004f9ddf9f2,5000,5995,0.95,2.25,2,cnn2d_grid_c022_85a735017d_r5000_b0p95_g2p25_s2
c023,e514f1841a,2004f9ddf9f2,5000,5995,0.95,2.5,0,cnn2d_grid_c023_e514f1841a_r5000_b0p95_g2p5_s0
c023,e514f1841a,2004f9ddf9f2,5000,5995,0.95,2.5,1,cnn2d_grid_c023_e514f1841a_r5000_b0p95_g2p5_s1
c023,e514f1841a,2004f9ddf9f2,5000,5995,0.95,2.5,2,cnn2d_grid_c023_e514f1841a_r5000_b0p95_g2p5_s2
c024,50d8278fff,2004f9ddf9f2,5000,5995,0.95,3.0,0,cnn2d_grid_c024_50d8278fff_r5000_b0p95_g3_s0
c024,50d8278fff,2004f9ddf9f2,5000,5995,0.95,3.0,1,cnn2d_grid_c024_50d8278fff_r5000_b0p95_g3_s1
c024,50d8278fff,2004f9ddf9f2,5000,5995,0.95,3.0,2,cnn2d_grid_c024_50d8278fff_r5000_b0p95_g3_s2
c025,19503e18c8,2004f9ddf9f2,5000,5995,0.975,0.0,0,cnn2d_grid_c025_19503e18c8_r5000_b0p975_g0_s0
c025,19503e18c8,2004f9ddf9f2,5000,5995,0.975,0.0,1,cnn2d_grid_c025_19503e18c8_r5000_b0p975_g0_s1
c025,19503e18c8,2004f9ddf9f2,5000,5995,0.975,0.0,2,cnn2d_grid_c025_19503e18c8_r5000_b0p975_g0_s2
c026,b128b895c3,2004f9ddf9f2,5000,5995,0.975,0.25,0,cnn2d_grid_c026_b128b895c3_r5000_b0p975_g0p25_s0
c026,b128b895c3,2004f9ddf9f2,5000,5995,0.975,0.25,1,cnn2d_grid_c026_b128b895c3_r5000_b0p975_g0p25_s1
c026,b128b895c3,2004f9ddf9f2,5000,5995,0.975,0.25,2,cnn2d_grid_c026_b128b895c3_r5000_b0p975_g0p25_s2
c027,33efc69614,2004f9ddf9f2,5000,5995,0.975,0.5,0,cnn2d_grid_c027_33efc69614_r5000_b0p975_g0p5_s0
c027,33efc69614,2004f9ddf9f2,5000,5995,0.975,0.5,1,cnn2d_grid_c027_33efc69614_r5000_b0p975_g0p5_s1
c027,33efc69614,2004f9ddf9f2,5000,5995,0.975,0.5,2,cnn2d_grid_c027_33efc69614_r5000_b0p975_g0p5_s2
c028,eaf46fdb5c,2004f9ddf9f2,5000,5995,0.975,0.75,0,cnn2d_grid_c028_eaf46fdb5c_r5000_b0p975_g0p75_s0
c028,eaf46fdb5c,2004f9ddf9f2,5000,5995,0.975,0.75,1,cnn2d_grid_c028_eaf46fdb5c_r5000_b0p975_g0p75_s1
c028,eaf46fdb5c,2004f9ddf9f2,5000,5995,0.975,0.75,2,cnn2d_grid_c028_eaf46fdb5c_r5000_b0p975_g0p75_s2
c029,0953d87a3b,2004f9ddf9f2,5000,5995,0.975,1.0,0,cnn2d_grid_c029_0953d87a3b_r5000_b0p975_g1_s0
c029,0953d87a3b,2004f9ddf9f2,5000,5995,0.975,1.0,1,cnn2d_grid_c029_0953d87a3b_r5000_b0p975_g1_s1
c029,0953d87a3b,2004f9ddf9f2,5000,5995,0.975,1.0,2,cnn2d_grid_c029_0953d87a3b_r5000_b0p975_g1_s2
c030,9dad49c89a,2004f9ddf9f2,5000,5995,0.975,1.25,0,cnn2d_grid_c030_9dad49c89a_r5000_b0p975_g1p25_s0
c030,9dad49c89a,2004f9ddf9f2,5000,5995,0.975,1.25,1,cnn2d_grid_c030_9dad49c89a_r5000_b0p975_g1p25_s1
c030,9dad49c89a,2004f9ddf9f2,5000,5995,0.975,1.25,2,cnn2d_grid_c030_9dad49c89a_r5000_b0p975_g1p25_s2
c031,0d290056ae,2004f9ddf9f2,5000,5995,0.975,1.5,0,cnn2d_grid_c031_0d290056ae_r5000_b0p975_g1p5_s0
c031,0d290056ae,2004f9ddf9f2,5000,5995,0.975,1.5,1,cnn2d_grid_c031_0d290056ae_r5000_b0p975_g1p5_s1
c031,0d290056ae,2004f9ddf9f2,5000,5995,0.975,1.5,2,cnn2d_grid_c031_0d290056ae_r5000_b0p975_g1p5_s2
c032,7a49b90205,2004f9ddf9f2,5000,5995,0.975,1.75,0,cnn2d_grid_c032_7a49b90205_r5000_b0p975_g1p75_s0
c032,7a49b90205,2004f9ddf9f2,5000,5995,0.975,1.75,1,cnn2d_grid_c032_7a49b90205_r5000_b0p975_g1p75_s1
c032,7a49b90205,2004f9ddf9f2,5000,5995,0.975,1.75,2,cnn2d_grid_c032_7a49b90205_r5000_b0p975_g1p75_s2
c033,e9266f2031,2004f9ddf9f2,5000,5995,0.975,2.0,0,cnn2d_grid_c033_e9266f2031_r5000_b0p975_g2_s0
c033,e9266f2031,2004f9ddf9f2,5000,5995,0.975,2.0,1,cnn2d_grid_c033_e9266f2031_r5000_b0p975_g2_s1
c033,e9266f2031,2004f9ddf9f2,5000,5995,0.975,2.0,2,cnn2d_grid_c033_e9266f2031_r5000_b0p975_g2_s2
c034,0d942f990d,2004f9ddf9f2,5000,5995,0.975,2.25,0,cnn2d_grid_c034_0d942f990d_r5000_b0p975_g2p25_s0
c034,0d942f990d,2004f9ddf9f2,5000,5995,0.975,2.25,1,cnn2d_grid_c034_0d942f990d_r5000_b0p975_g2p25_s1
c034,0d942f990d,2004f9ddf9f2,5000,5995,0.975,2.25,2,cnn2d_grid_c034_0d942f990d_r5000_b0p975_g2p25_s2
c035,0c444cccab,2004f9ddf9f2,5000,5995,0.975,2.5,0,cnn2d_grid_c035_0c444cccab_r5000_b0p975_g2p5_s0
c035,0c444cccab,2004f9ddf9f2,5000,5995,0.975,2.5,1,cnn2d_grid_c035_0c444cccab_r5000_b0p975_g2p5_s1
c035,0c444cccab,2004f9ddf9f2,5000,5995,0.975,2.5,2,cnn2d_grid_c035_0c444cccab_r5000_b0p975_g2p5_s2
c036,32d4e2b023,2004f9ddf9f2,5000,5995,0.975,3.0,0,cnn2d_grid_c036_32d4e2b023_r5000_b0p975_g3_s0
c036,32d4e2b023,2004f9ddf9f2,5000,5995,0.975,3.0,1,cnn2d_grid_c036_32d4e2b023_r5000_b0p975_g3_s1
c036,32d4e2b023,2004f9ddf9f2,5000,5995,0.975,3.0,2,cnn2d_grid_c036_32d4e2b023_r5000_b0p975_g3_s2
c037,5aa93bb4ed,2004f9ddf9f2,5000,5995,0.99,0.0,0,cnn2d_grid_c037_5aa93bb4ed_r5000_b0p99_g0_s0
c037,5aa93bb4ed,2004f9ddf9f2,5000,5995,0.99,0.0,1,cnn2d_grid_c037_5aa93bb4ed_r5000_b0p99_g0_s1
c037,5aa93bb4ed,2004f9ddf9f2,5000,5995,0.99,0.0,2,cnn2d_grid_c037_5aa93bb4ed_r5000_b0p99_g0_s2
c038,14ed9490e4,2004f9ddf9f2,5000,5995,0.99,0.25,0,cnn2d_grid_c038_14ed9490e4_r5000_b0p99_g0p25_s0
c038,14ed9490e4,2004f9ddf9f2,5000,5995,0.99,0.25,1,cnn2d_grid_c038_14ed9490e4_r5000_b0p99_g0p25_s1
c038,14ed9490e4,2004f9ddf9f2,5000,5995,0.99,0.25,2,cnn2d_grid_c038_14ed9490e4_r5000_b0p99_g0p25_s2
c039,5adc3a9a9f,2004f9ddf9f2,5000,5995,0.99,0.5,0,cnn2d_grid_c039_5adc3a9a9f_r5000_b0p99_g0p5_s0
c039,5adc3a9a9f,2004f9ddf9f2,5000,5995,0.99,0.5,1,cnn2d_grid_c039_5adc3a9a9f_r5000_b0p99_g0p5_s1
c039,5adc3a9a9f,2004f9ddf9f2,5000,5995,0.99,0.5,2,cnn2d_grid_c039_5adc3a9a9f_r5000_b0p99_g0p5_s2
c040,2543aff670,2004f9ddf9f2,5000,5995,0.99,0.75,0,cnn2d_grid_c040_2543aff670_r5000_b0p99_g0p75_s0
c040,2543aff670,2004f9ddf9f2,5000,5995,0.99,0.75,1,cnn2d_grid_c040_2543aff670_r5000_b0p99_g0p75_s1
c040,2543aff670,2004f9ddf9f2,5000,5995,0.99,0.75,2,cnn2d_grid_c040_2543aff670_r5000_b0p99_g0p75_s2
c041,cf2ae57ded,2004f9ddf9f2,5000,5995,0.99,1.0,0,cnn2d_grid_c041_cf2ae57ded_r5000_b0p99_g1_s0
c041,cf2ae57ded,2004f9ddf9f2,5000,5995,0.99,1.0,1,cnn2d_grid_c041_cf2ae57ded_r5000_b0p99_g1_s1
c041,cf2ae57ded,2004f9ddf9f2,5000,5995,0.99,1.0,2,cnn2d_grid_c041_cf2ae57ded_r5000_b0p99_g1_s2
c042,2414f515e6,2004f9ddf9f2,5000,5995,0.99,1.25,0,cnn2d_grid_c042_2414f515e6_r5000_b0p99_g1p25_s0
c042,2414f515e6,2004f9ddf9f2,5000,5995,0.99,1.25,1,cnn2d_grid_c042_2414f515e6_r5000_b0p99_g1p25_s1
c042,2414f515e6,2004f9ddf9f2,5000,5995,0.99,1.25,2,cnn2d_grid_c042_2414f515e6_r5000_b0p99_g1p25_s2
c043,40f4fb9932,2004f9ddf9f2,5000,5995,0.99,1.5,0,cnn2d_grid_c043_40f4fb9932_r5000_b0p99_g1p5_s0
c043,40f4fb9932,2004f9ddf9f2,5000,5995,0.99,1.5,1,cnn2d_grid_c043_40f4fb9932_r5000_b0p99_g1p5_s1
c043,40f4fb9932,2004f9ddf9f2,5000,5995,0.99,1.5,2,cnn2d_grid_c043_40f4fb9932_r5000_b0p99_g1p5_s2
c044,2a724ed2a0,2004f9ddf9f2,5000,5995,0.99,1.75,0,cnn2d_grid_c044_2a724ed2a0_r5000_b0p99_g1p75_s0
c044,2a724ed2a0,2004f9ddf9f2,5000,5995,0.99,1.75,1,cnn2d_grid_c044_2a724ed2a0_r5000_b0p99_g1p75_s1
c044,2a724ed2a0,2004f9ddf9f2,5000,5995,0.99,1.75,2,cnn2d_grid_c044_2a724ed2a0_r5000_b0p99_g1p75_s2
c045,4b7824f63b,2004f9ddf9f2,5000,5995,0.99,2.0,0,cnn2d_grid_c045_4b7824f63b_r5000_b0p99_g2_s0
c045,4b7824f63b,2004f9ddf9f2,5000,5995,0.99,2.0,1,cnn2d_grid_c045_4b7824f63b_r5000_b0p99_g2_s1
c045,4b7824f63b,2004f9ddf9f2,5000,5995,0.99,2.0,2,cnn2d_grid_c045_4b7824f63b_r5000_b0p99_g2_s2
c046,926a07407b,2004f9ddf9f2,5000,5995,0.99,2.25,0,cnn2d_grid_c046_926a07407b_r5000_b0p99_g2p25_s0
c046,926a07407b,2004f9ddf9f2,5000,5995,0.99,2.25,1,cnn2d_grid_c046_926a07407b_r5000_b0p99_g2p25_s1
c046,926a07407b,2004f9ddf9f2,5000,5995,0.99,2.25,2,cnn2d_grid_c046_926a07407b_r5000_b0p99_g2p25_s2
c047,b523c8791d,2004f9ddf9f2,5000,5995,0.99,2.5,0,cnn2d_grid_c047_b523c8791d_r5000_b0p99_g2p5_s0
c047,b523c8791d,2004f9ddf9f2,5000,5995,0.99,2.5,1,cnn2d_grid_c047_b523c8791d_r5000_b0p99_g2p5_s1
c047,b523c8791d,2004f9ddf9f2,5000,5995,0.99,2.5,2,cnn2d_grid_c047_b523c8791d_r5000_b0p99_g2p5_s2
c048,c536b091ee,2004f9ddf9f2,5000,5995,0.99,3.0,0,cnn2d_grid_c048_c536b091ee_r5000_b0p99_g3_s0
c048,c536b091ee,2004f9ddf9f2,5000,5995,0.99,3.0,1,cnn2d_grid_c048_c536b091ee_r5000_b0p99_g3_s1
c048,c536b091ee,2004f9ddf9f2,5000,5995,0.99,3.0,2,cnn2d_grid_c048_c536b091ee_r5000_b0p99_g3_s2
c049,f4d5cc6302,2004f9ddf9f2,5000,5995,0.995,0.0,0,cnn2d_grid_c049_f4d5cc6302_r5000_b0p995_g0_s0
c049,f4d5cc6302,2004f9ddf9f2,5000,5995,0.995,0.0,1,cnn2d_grid_c049_f4d5cc6302_r5000_b0p995_g0_s1
c049,f4d5cc6302,2004f9ddf9f2,5000,5995,0.995,0.0,2,cnn2d_grid_c049_f4d5cc6302_r5000_b0p995_g0_s2
c050,75167d9d18,2004f9ddf9f2,5000,5995,0.995,0.25,0,cnn2d_grid_c050_75167d9d18_r5000_b0p995_g0p25_s0
c050,75167d9d18,2004f9ddf9f2,5000,5995,0.995,0.25,1,cnn2d_grid_c050_75167d9d18_r5000_b0p995_g0p25_s1
c050,75167d9d18,2004f9ddf9f2,5000,5995,0.995,0.25,2,cnn2d_grid_c050_75167d9d18_r5000_b0p995_g0p25_s2
c051,0abe694db3,2004f9ddf9f2,5000,5995,0.995,0.5,0,cnn2d_grid_c051_0abe694db3_r5000_b0p995_g0p5_s0
c051,0abe694db3,2004f9ddf9f2,5000,5995,0.995,0.5,1,cnn2d_grid_c051_0abe694db3_r5000_b0p995_g0p5_s1
c051,0abe694db3,2004f9ddf9f2,5000,5995,0.995,0.5,2,cnn2d_grid_c051_0abe694db3_r5000_b0p995_g0p5_s2
c052,2827471ea0,2004f9ddf9f2,5000,5995,0.995,0.75,0,cnn2d_grid_c052_2827471ea0_r5000_b0p995_g0p75_s0
c052,2827471ea0,2004f9ddf9f2,5000,5995,0.995,0.75,1,cnn2d_grid_c052_2827471ea0_r5000_b0p995_g0p75_s1
c052,2827471ea0,2004f9ddf9f2,5000,5995,0.995,0.75,2,cnn2d_grid_c052_2827471ea0_r5000_b0p995_g0p75_s2
c053,4ba6805a0d,2004f9ddf9f2,5000,5995,0.995,1.0,0,cnn2d_grid_c053_4ba6805a0d_r5000_b0p995_g1_s0
c053,4ba6805a0d,2004f9ddf9f2,5000,5995,0.995,1.0,1,cnn2d_grid_c053_4ba6805a0d_r5000_b0p995_g1_s1
c053,4ba6805a0d,2004f9ddf9f2,5000,5995,0.995,1.0,2,cnn2d_grid_c053_4ba6805a0d_r5000_b0p995_g1_s2
c054,fc6d25901e,2004f9ddf9f2,5000,5995,0.995,1.25,0,cnn2d_grid_c054_fc6d25901e_r5000_b0p995_g1p25_s0
c054,fc6d25901e,2004f9ddf9f2,5000,5995,0.995,1.25,1,cnn2d_grid_c054_fc6d25901e_r5000_b0p995_g1p25_s1
c054,fc6d25901e,2004f9ddf9f2,5000,5995,0.995,1.25,2,cnn2d_grid_c054_fc6d25901e_r5000_b0p995_g1p25_s2
c055,6e3fe888ef,2004f9ddf9f2,5000,5995,0.995,1.5,0,cnn2d_grid_c055_6e3fe888ef_r5000_b0p995_g1p5_s0
c055,6e3fe888ef,2004f9ddf9f2,5000,5995,0.995,1.5,1,cnn2d_grid_c055_6e3fe888ef_r5000_b0p995_g1p5_s1
c055,6e3fe888ef,2004f9ddf9f2,5000,5995,0.995,1.5,2,cnn2d_grid_c055_6e3fe888ef_r5000_b0p995_g1p5_s2
c056,8e983683de,2004f9ddf9f2,5000,5995,0.995,1.75,0,cnn2d_grid_c056_8e983683de_r5000_b0p995_g1p75_s0
c056,8e983683de,2004f9ddf9f2,5000,5995,0.995,1.75,1,cnn2d_grid_c056_8e983683de_r5000_b0p995_g1p75_s1
c056,8e983683de,2004f9ddf9f2,5000,5995,0.995,1.75,2,cnn2d_grid_c056_8e983683de_r5000_b0p995_g1p75_s2
c057,21a161c6d4,2004f9ddf9f2,5000,5995,0.995,2.0,0,cnn2d_grid_c057_21a161c6d4_r5000_b0p995_g2_s0
c057,21a161c6d4,2004f9ddf9f2,5000,5995,0.995,2.0,1,cnn2d_grid_c057_21a161c6d4_r5000_b0p995_g2_s1
c057,21a161c6d4,2004f9ddf9f2,5000,5995,0.995,2.0,2,cnn2d_grid_c057_21a161c6d4_r5000_b0p995_g2_s2
c058,b680caae0d,2004f9ddf9f2,5000,5995,0.995,2.25,0,cnn2d_grid_c058_b680caae0d_r5000_b0p995_g2p25_s0
c058,b680caae0d,2004f9ddf9f2,5000,5995,0.995,2.25,1,cnn2d_grid_c058_b680caae0d_r5000_b0p995_g2p25_s1
c058,b680caae0d,2004f9ddf9f2,5000,5995,0.995,2.25,2,cnn2d_grid_c058_b680caae0d_r5000_b0p995_g2p25_s2
c059,fd725e4ab6,2004f9ddf9f2,5000,5995,0.995,2.5,0,cnn2d_grid_c059_fd725e4ab6_r5000_b0p995_g2p5_s0
c059,fd725e4ab6,2004f9ddf9f2,5000,5995,0.995,2.5,1,cnn2d_grid_c059_fd725e4ab6_r5000_b0p995_g2p5_s1
c059,fd725e4ab6,2004f9ddf9f2,5000,5995,0.995,2.5,2,cnn2d_grid_c059_fd725e4ab6_r5000_b0p995_g2p5_s2
c060,6922ed644f,2004f9ddf9f2,5000,5995,0.995,3.0,0,cnn2d_grid_c060_6922ed644f_r5000_b0p995_g3_s0
c060,6922ed644f,2004f9ddf9f2,5000,5995,0.995,3.0,1,cnn2d_grid_c060_6922ed644f_r5000_b0p995_g3_s1
c060,6922ed644f,2004f9ddf9f2,5000,5995,0.995,3.0,2,cnn2d_grid_c060_6922ed644f_r5000_b0p995_g3_s2
c061,28909177ed,2004f9ddf9f2,5000,5995,0.999,0.0,0,cnn2d_grid_c061_28909177ed_r5000_b0p999_g0_s0
c061,28909177ed,2004f9ddf9f2,5000,5995,0.999,0.0,1,cnn2d_grid_c061_28909177ed_r5000_b0p999_g0_s1
c061,28909177ed,2004f9ddf9f2,5000,5995,0.999,0.0,2,cnn2d_grid_c061_28909177ed_r5000_b0p999_g0_s2
c062,6a62834264,2004f9ddf9f2,5000,5995,0.999,0.25,0,cnn2d_grid_c062_6a62834264_r5000_b0p999_g0p25_s0
c062,6a62834264,2004f9ddf9f2,5000,5995,0.999,0.25,1,cnn2d_grid_c062_6a62834264_r5000_b0p999_g0p25_s1
c062,6a62834264,2004f9ddf9f2,5000,5995,0.999,0.25,2,cnn2d_grid_c062_6a62834264_r5000_b0p999_g0p25_s2
c063,cec23d1f44,2004f9ddf9f2,5000,5995,0.999,0.5,0,cnn2d_grid_c063_cec23d1f44_r5000_b0p999_g0p5_s0
